"label","labelOO","labelCi"
"Realtà e tradizione. L’arte di Vittorio Melchiori (1891-1951)","Sede di Museo diocesano tridentino","Trento"
"FAScina  - forum annuale delle studiose di cinema e audiovisivi","Sede di Biblioteca Universitaria di Sassari","Sassari"
"AL CENTRO DI ROMA/ ""Donna Olimpia. Uno scandalo nella Chiesa?""","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"La Caverna delle Arene Candide: un archivio della Preistoria europea","Sede di Direzione Regionale Musei Liguria","Finale Ligure"
"Dagli studi di Capellini sui cetacei al Santuario Pelagos","Sede di Direzione Regionale Musei Liguria","La Spezia"
"GEP 2022 Visita guidata a tema alla mostra “Collezionauta. Capolavori attraverso il tempo”","Sede di Museo nazionale Jatta","Ruvo di Puglia"
"Apertura straordinaria serale","Sede di Direzione Regionale Musei Liguria","Bordighera"
"Giornate Europee del Patrimonio 2022 ai Musei Garibaldini di Caprera","Sede di Compendio garibaldino di Caprera","Sassari"
"Giornate europee del Patrimonio 2022 - Castello di Capua_Copia","Sede di Castello di Civitacampomarano","Civitacampomarano"
"GEP 2022- In visita a Castel del Monte: sostenibilità del patrimonio culturale oggi, ieri e domani","Sede di Castel del Monte","Andria"
"“La preziosa sintesi delle vicende storiche di un ampio territorio”. Incontro nel XV anniversario di fondazione del  Museo di Archeologia e Paleontologia “Carlo Conti” di Borgosesia, nel ricordo di Filippo Maria Gambari","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le Province di Biella, Novara, Verbano-Cusio-Ossola e Vercelli","Novara"
"Sofonisba Anguissola e la Madonna dell’Itria. Il culto dell'Hodighitria in Sicilia dal Medioevo all'Età Moderna","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo","Catania"
"Un Inuit per amico","Sede di Direzione Regionale Musei Marche","Fermo"
"Apertura straordinaria Antiquarium_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Antiquarium di Torre Cimalonga","Scalea"
"Visita accompagnata “Patrimonio culturale sostenibile: un’eredità per il futuro”","Sede di Direzione Regionale Musei Marche","Fano"
"Di tutti e di nessuno. Il “pineto” di Ravenna e le sue storie","Sede di Archivio di Stato di Ravenna","Ravenna"
"GEP 2022 - D'Arti e Memorie nel Bosco Sacro di Hera Lacinia","Sede di Museo e Parco archeologico nazionale di Capo Colonna","Crotone"
"GEP 2022 - D'Arti e Memorie nel Bosco Sacro di Hera Lacinia","Sede di Direzione regionale Musei Calabria","Crotone"
"GEP 2022 - D'Arti e Memorie nel Bosco Sacro di Hera Lacinia","Sede di Museo e Parco archeologico nazionale di Capo Colonna","Cosenza"
"GEP 2022 - D'Arti e Memorie nel Bosco Sacro di Hera Lacinia","Sede di Direzione regionale Musei Calabria","Cosenza"
"Gep 2022","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la provincia di Viterbo e per l'Etruria meridionale","Sutri"
"Le Giornate Europee del Patrimonio 2022 al Parco archeologico del Colosseo-  apertura serale","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"DOMENICA DI CARTA 2022 - BIBLIOTECA STATALE ANTONIO BALDINI","Sede di Biblioteca Statale Antonio Baldini","Roma"
"Transito di merci e persone tra Varese e Canton Ticino. Storie di espatri clandestini, contrabbando e traffici illeciti (1938-1966)","Sede di Archivio di Stato di Varese","Varese"
"Domenica al museo","Sede di Gallerie Nazionali di Palazzo Spinola","Genova"
"“Classica & Dintorni. Festival internazionale di musica da camera, jazz e contaminazioni”. XIX edizione","Sede di Soprintendenza Archivistica della Sicilia - Archivio di Stato di Palermo","Catania"
"Aperture serali a Crypta Balbi_Copia_Copia","Sede di Museo nazionale romano - Crypta Balbi","Roma"
"Domenica di carta 2022","Sede di Archivio di Stato di Matera","Matera"
"“Una soluzione genialissima”. Il Ritratto di Giovan Carlo Doria a cavallo di Rubens","Sede di Gallerie Nazionali di Palazzo Spinola","Genova"
"Italia nostra Campobasso - Giornate europee del Patrimonio","Sede di Direzione Regionale Musei Molise","Campobasso"
"Visita guidata a Forte San Giovanni - Apertura punto ristoro_Copia","Sede di Forte San Giovanni","Finale Ligure"
"Mostre ed incontri all’Archivio di Stato di Siena per le GEP 2022_Copia_Copia","Sede di Archivio di Stato di Siena","Siena"
"GEP 2022- Una giornata al Castello","Sede di Museo archeologico nazionale e Castello di Gioia del Colle","Gioia del Colle"
"GEP 2022 - Visite guidate nella Galleria Devanna. Il Palazzo e la Collezione.","Sede di Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","Bitonto"
"GEP 2022 - Alla scoperta del litorale Egnatino” Archeo trekking lungo il litorale della città di Egnazia   “Un giorno da Pescatori” Laboratorio esperienziale     In collaborazione con l’Associazione  L’Anfora","Sede di Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia","Fasano"
"Giornate Europee del Patrimonio 2022","Sede di Archivio di Stato di Reggio Calabria","Reggio di Calabria"
"GIORNATE EUROPEE DEL PATRIMONIO 2022_Copia","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la città metropolitana di Reggio Calabria e la provincia di Vibo Valentia","Reggio di Calabria"
"Il Trionfo della Natura","Sede di Direzione Regionale Musei Veneto","Belluno"
"Giornate europee del Patrimonio 2022 - Museo sannitico","Sede di Museo sannitico","Campobasso"
"Giovanni Sforza nel primo centenario dalla scomparsa","Sede di Archivio di Stato di Massa","Massa"
"GEP 2022 - Percorsi guidati alla Cattolica di Stilo","Sede di La Cattolica","Stilo"
"I Cosentini e il loro Cosenza: storia di una città e della sua passione calcistica","Sede di Archivio di Stato di Cosenza","Cosenza"
"Dialoghi in Curia. Gli scavi della missione italo-egiziana ad Assuan","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Giornate europee del Patrimonio 2022 - Museo Palazzo Pistilli","Sede di Museo Palazzo Pistilli","Campobasso"
"Il Castello rivelato","Sede di Segretariato Regionale del Ministero della cultura per la Campania","Napoli"
"Giornate europee del Patrimonio 2022 - Parco archeologico di sepino - Museo della città e del territorio","Sede di Parco archeologico di Sepino - Museo della città e del territorio","Sepino"
"GEP – Giornate Europee del Patrimonio. Sabato 24 settembre 2022","Sede di Museo Storico e il Parco del Castello di Miramare","Trieste"
"GEP in Pinacoteca 2022","Sede di Pinacoteca nazionale di Siena","Siena"
"ARS BOTANICA. Giardini di carta / Papers Gardens","Sede di Museo Storico e il Parco del Castello di Miramare","Trieste"
"Giornate Europee del Patrimonio","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"Giornate Europee del Patrimonio_Copia","Sede di Museo archeologico nazionale di Pontecagnano e Parco archeologico di Pontecagnano","Pontecagnano Faiano"
"Avviso pubblico per proposte di valorizzazione partecipata e iniziative di fruizione nei siti afferenti la Direzione Regionale Musei Emilia-Romagna","Sede di Direzione Regionale Musei Emilia Romagna","Bologna"
"Apertura straordinaria","Sede di Gallerie estensi - Biblioteca estense universitaria","Modena"
"Omaggio a Giovanni Battista Morgagni","Sede di Biblioteca Medica Statale di Roma","Roma"
"Apertura serale del Castello Piccolomini di Ortucchio","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di L'Aquila e Teramo","Ortucchio"
"Domenica 2 ottobre 2022 ingresso gratuito alle Sale Monumentali della Biblioteca Nazionale Marciana","Sede di Biblioteca Nazionale Marciana di Venezia","Venezia"
"TRAME – Tracce di memoria. Incontro sulle migrazioni dall’antichità ad oggi","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Storie d'Arte al Museo Nazionale di Ravenna_Copia","Sede di Museo nazionale di Ravenna","Ravenna"
"Domenica di Carta","Sede di Biblioteca Universitaria di Pisa","Pisa"
"Domenica 2 ottobre 2022 torna la #domenicalmuseo al Castello del Buonconsiglio","Sede di Castello del Buonconsiglio","Trento"
"Mostra Constellations di Susan Harbage Page","Sede di Biblioteca Vallicelliana di Roma","Roma"
"Visita in relax al Museo Nazionale di Villa Pisani_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Sede di Museo nazionale di Villa Pisani","Stra"
"La cornucopia della Natura: il giardino dei semplici nell'Abbazia di Santa Giustina","Sede di Biblioteca Statale del Monumento Nazionale di Santa Giustina","Padova"
"Un edificio in evoluzione: da Regio Collegio ad Archivio di Stato","Sede di Archivio di Stato di Verbania","Verbania"
"RESTORE – smaRt accESs TO digital heRitage and mEmory, presentazione risultati progetto","Sede di Archivio di Stato di Prato","Prato"
"Ad ottobre ingresso gratuito al Museo Archeologico Nazionale di Taranto nell’ambito della campagna di prevenzione dei tumori al seno","Sede di Museo archeologico nazionale di Taranto - MArTA","Taranto"
"Straordinariamente aperti a Palazzo Altemps_Copia_Copia","Sede di Museo nazionale romano - Terme di Diocleziano","Roma"
"Domenica di Carta 2022","Sede di Archivio di Stato di Forlì-Cesena","Forlì"
"Bando iniziative di fruizione nelle sedi della Direzione Regionale Musei Emilia-Romagna: proroga termini scadenza avviso","Sede di Direzione Regionale Musei Emilia Romagna","Bologna"
"Stimmung di K. Stockhausen Concerto dell’Ensemble Fragmente","Sede di Museo nazionale romano - Palazzo Altemps","Roma"
"È un bene prezioso?","Sede di Archivio di Stato di Venezia","Venezia"
"GEP 2022_Copia","Sede di Archivio di Stato di Caltanissetta","Caltanissetta"
"Lettura pubblica Roma da Goethe ad Anders passando per Hiroshima - Domenica di carta 2022","Sede di Biblioteca Vallicelliana di Roma","Roma"
"Mostra documentaria ""Omaggio allo scultore Cesare Fantacchiotti, nel centenario della sua morte 1922-2022""","Sede di Museo nazionale di Casa Giusti","Monsummano Terme"
"I Gagini di Bissone e la scultura del rinascimento tra Sicilia e Calabria","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per la città metropolitana di Reggio Calabria e la provincia di Vibo Valentia","Reggio di Calabria"
"Inaugurazione della mostra ""Eleonora di Toledo e Cosimo de’ Medici. Coppia nobilissima et bella"".","Sede di Museo nazionale di Palazzo Reale","Pisa"
"Un decennio di ricostruzione post-sisma a L’Aquila","Sede di Ministero della cultura","Roma"
"GIORNATE FAI D'AUTUNNO","Sede di Palazzo Ducale di Tricarico","Tricarico"
"Apertura straordinaria di Palazzo Patrizi Clementi","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti","Roma"
"Una storia per immagini. Il fondo fotografico Emilio Colombo. Presentazione dell'inventario multimediale","Sede di Biblioteca Nazionale di Potenza","Potenza"
"Suoni in Certosa! III edizione | Dissonanzen e l’arte della variazione","Sede di Certosa e Museo di San Martino","Napoli"
"Superga - apertura straordinaria serale salita in cupola","Sede di Basilica di Superga","Torino"
"Giornate Europee del Patrimonio 2022","Sede di Archivio di Stato di Catania","Catania"
"I Cosentini e il loro Cosenza: storia di una città e della sua passione calcistica_Copia","Sede di Archivio di Stato di Cosenza","Cosenza"
"Giornate europee del Patrimonio 2022 - Museo sannitico_Copia","Sede di Museo nazionale del Paleolitico di Isernia","Isernia"
"GEP 2022 al Parco Archeologico di Monte Sannace","Sede di Parco archeologico di Monte Sannace","Gioia del Colle"
"GEP 2022: Apertura straordinaria del Museo delle Porcellane","Sede di Gallerie degli Uffizi - Giardino di Boboli","Firenze"
"Il giardino è aperto di Alessandra Angelini","Sede di Biblioteca Universitaria di Pavia","Pavia"
"GEP2022 al Museo archeologico dell'antica Capua: domenica 25 settembre visite guidate alla Mostra permanente “I Segni del Paesaggio: l’Appia e Capua”","Sede di Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"Disegna con noi!","Sede di Musei Reali","Torino"
"Giornate Europee del Patrimonio_Copia","Sede di Area archeologica del Teatro romano di Benevento","Benevento"
"Meraviglie Nascoste. Alla scoperta di piccoli Musei dal grande valore","Sede di Biblioteca Universitaria di Pavia","Pavia"
"Domenica di carta 2022","Sede di Biblioteca Universitaria di Pavia","Pavia"
"GEP 2022 - Apertura straordinaria del Museo delle Porcellane il 25 settembre 2022 dalle ore 10,00 alle ore 18,30","Sede di Gallerie degli Uffizi - Museo delle porcellane","Firenze"
"Un Sabato da Re","Sede di Palazzo Reale di Napoli","Napoli"
"Conversazioni Musicali alla Marucelliana","Sede di Biblioteca Marucelliana","Firenze"
"Domenica di carta 2022","Sede di Archivio di Stato di Chieti","Chieti"
"Apertura straordinaria gratuita per la festa di San Bruno fondatore dell’Ordine Certosino","Sede di Museo nazionale della Certosa monumentale di Calci","Calci"
"Sotto il cedro del Libano. Omaggio di Roma a Grazia Deledda","Sede di Biblioteca nazionale centrale di Roma","Roma"
"Mostra documentaria ""Il culto e le celebrazioni di San Gaudenzo  nei documenti d’archivio""","Sede di Archivio di Stato di Rimini","Rimini"
"Domenica di carta alla Crise","Sede di Biblioteca statale Stelio Crise di Trieste","Trieste"
"GEP – GIORNATE EUROPEE DEL PATRIMONIO La via dell’Acquedotto Storico di Genova","Sede di Segretariato Regionale del Ministero della cultura per la Liguria","Genova"
"Domenica di Carta 2022: apertura straordinaria della sala studio","Sede di Archivio di Stato di Imperia","Imperia"
"Domenica di carta 2022 nel Complesso monumentale della Pilotta","Sede di Complesso Monumentale della Pilotta","Parma"
"Domenica di carta - Margherita, la sovrana lettrice","Sede di Biblioteca Nazionale Universitaria di Torino","Torino"
"Domenica di carta","Sede di Biblioteca Statale di Lucca","Lucca"
"Domenica di Carta - Archivio di Stato di Mantova","Sede di Archivio di Stato di Mantova","Mantova"
"Pasolini, narratore di storie diverse di gente normale  Ciclo di eventi ed incontri dedicati al ricordo di Pier Paolo Pasolini  in occasione del centenario della nascita (1922 – 2022)","Sede di Istituto Centrale per i Beni Sonori ed Audiovisivi","Roma"
"Le iniziative della Direzione regionale musei della Toscana per la Giornata nazionale delle famiglie al museo F@Mu 2022 | Diversi ma Uguali","Sede di Direzione Regionale Musei Toscana","Firenze"
"Un convegno per ricordare Sante Graciotti fautore dell’Homo Adriaticus il 14 e 15 ottobre 2022 presso il MAN Marche","Sede di Museo archeologico nazionale delle Marche","Ancona"
"War Museum Winterline - Giornare europee del patrimonio","Sede di Direzione Regionale Musei Molise","Venafro"
"Apertura straordinaria serale del Museo di San Matteo per le GEP 2022","Sede di Museo nazionale di San Matteo","Pisa"
"I Del Carretto e il Rinascimento finalese","Sede di Direzione Regionale Musei Liguria","Finale Ligure"
"Visite guidate al Museo preistorico dei Balzi Rossi","Sede di Museo preistorico dei ""Balzi Rossi"" e zona archeologica","Ventimiglia"
"Visite guidate alla Villa romana del Varignano","Sede di Villa romana del Varignano","Portovenere"
"Passeggiata verso la 'Sala Grande'","Sede di Biblioteca e Complesso monumentale dei Girolamini","Napoli"
"Due dipinti su rame del MNAMM di Arezzo. Apertura straordinaria e vista guidata","Sede di Museo nazionale d'arte medievale e moderna","Arezzo"
"Dal registro cartaceo al registro elettro l’insostenibile peso della Storia","Sede di Archivio di Stato di Oristano","Oristano"
"Giornate Europee del Patrimonio 2022 al Museo Civico di Cetona e Parco di Belverde","Sede di Museo civico per la preistoria del Monte Cetona","Cetona"
"Apertura serale straordinaria per le GEP 2022","Sede di Museo di San Marco","Firenze"
"GEP 2022 al Castello Svevo di Bari","Sede di Castello svevo di Bari","Bari"
"La nuova app ArcheoArezzo Anfiteatro: sperimentazione e visite guidate gratuite","Sede di Museo archeologico nazionale “Gaio Cilnio Mecenate” e Anfiteatro romano","Arezzo"
"Visita guidata al Civico Museo Marinaro “Gio Bono Ferrari”","Sede di Direzione Regionale Musei Liguria","Camogli"
"AL CENTRO DI ROMA/ ""Giovanni XXIII e il concilio Vaticano II"" – Giovedì 22 settembre ore 18:00","Sede di Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"Alla scoperta del Museo","Sede di Museo archeologico nazionale Prenestino, Santuario della Fortuna Primigenia e Complesso degli edifici del foro di Praeneste","Palestrina"
